Archive Date,Group,Hospital HIPE,Hospital,Specialty HIPE,Specialty,Case Type,Adult/Child,Age Categorisation,Time Bands,Count
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Day Case,Child,0-15,  3-6 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Day Case,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Day Case,Child,0-15,18+ Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Day Case,Child,16-64,  6-9 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Inpatient,Child,0-15,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Inpatient,Child,0-15,  9-12 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Inpatient,Child,0-15, 12-15 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Inpatient,Child,0-15, 15-18 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Inpatient,Child,0-15,18+ Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,0,Small Volume Specialities,Inpatient,Child,16-64, 12-15 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,144
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,66
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,8
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15,  9-12 Months,20
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15, 12-15 Months,27
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15, 15-18 Months,10
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,0-15,18+ Months,16
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,16-64,  0-3 Months,3
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,16-64,  3-6 Months,1
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,16-64, 12-15 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,16-64, 15-18 Months,2
28/01/2021,Children's Health Ireland,0,Children's Health Ireland,601,Paediatric ENT,Day Case,Child,16-64,18+ Months,1
